127|MDAS|MstTOU.toumaxslots|MinLength|1|Min length is 1||
128|MDAS|MstTOU.toumaxslots|MaxLength|1|Max length is 1||
129|MDAS|MstTOU.toumaxslots|DataType|^[1-8]{1}$|Invalid slot|Slot|
130|MDAS|MstConsumerClass.cclassid|MinLength|5|Min length is 5||
131|MDAS|MstConsumerClass.cclassid|MaxLength|10|Max length is 10||
132|MDAS|MstConsumerClass.cclassid|DataType|^[A-z0-9]+$|Invalid code|Alphanumeric|
133|MDAS|MstConsumerClass.cclassid|Required|Y|Please enter code||
134|MDAS|MstConsumerClass.cclassid|Padded|Y|||
135|MDAS|MstConsumerClass.cclassconsumergroup|Required|Y|Please select consumer group||
136|MDAS|MstConsumerClass.cclassconsumergroup|MinLength|0|||
137|MDAS|MstConsumerClass.cclassconsumergroup|MaxLength|300|||
138|MDAS|MstTOU.touconsumercatid|MaxLength|300|||
139|MDAS|MstTOU.touconsumercatid|MinLength|0|||
140|MDAS|MstTariff.trftouid|MinLength|0|||
141|MDAS|MstTariff.trftouid|MaxLength|300|||
142|MDAS|MstTariff.trftouslotid|MaxLength|300|||
143|MDAS|MstTariff.trftouslotid|MinLength|0|||
144|MDAS|MstDivision.divrgnid|MinLength|0|||
145|MDAS|MstDivision.divrgnid|MaxLength|300|||
146|MDAS|MstRegion.RgnZnID|MaxLength|300|||
147|MDAS|MstRegion.RgnZnID|MinLength|0|||
148|MDAS|MstZone.znutilityid|MinLength|0|||
149|MDAS|MstZone.znutilityid|MaxLength|300|||
150|MDAS|MstSubstation.ssdivid|MaxLength|300|||
151|MDAS|MstSubstation.ssdivid|MinLength|0|||
152|MDAS|MstSubstation.ssdivid|Required|Y|Please select division||
153|MDAS|MstUser.usremployeeid|MinLength|0|||
154|MDAS|MstUser.usremployeeid|MaxLength|300|||
155|MDAS|MstUser.usrroleid|MaxLength|300|||
156|MDAS|MstUser.usrroleid|MinLength|0|||
157|MDAS|MstEmployee.empzoneid|MinLength|0|||
158|MDAS|MstEmployee.empzoneid|MaxLength|300|||
159|MDAS|MstEmployee.emprgnid|MaxLength|300|||
160|MDAS|MstEmployee.emprgnid|MinLength|0|||
161|MDAS|MstEmployee.empdivid|MinLength|0|||
162|MDAS|MstEmployee.empdivid|MaxLength|300|||
163|MDAS|MstEmployee.empsubstnid|MaxLength|300|||
164|MDAS|MstEmployee.empsubstnid|MinLength|0|||
272|MDAS|MstSubstation.ssid|Padded|Y|||
273|Global|DatabaseDate|Format|YYYY-MM-DDTHH:mm:ss|\ |\ |
274|Global|DateTimeField|Format|DD/MM/YY HH:mm|\ ||
170|MDAS|MstDtr.dtrid|Required|Y|Please enter Id|\ |
171|MDAS|MstDtr.dtrname|Required|Y|Please enter name|\ |
172|MDAS|MstDtr.dtrfeederid|Required|Y|Please Select feeder|\ |
173|MDAS|MstDtr.dtrfeederid|MaxLength|300|\ |\ |
174|MDAS|MstDtr.dtrfeederid|MinLength|0|\ |\ |
175|MDAS|mstdtr.dtrid|DataType|^[A-z0-9]+$|Please enter valid id|Alphanumeric|
176|MDAS|mstdtr.dtrname|DataType|^[A-z]+[0-9,',\\-,\\\\,.]*$|Please enter valid name|Name|
177|MDAS|mstdtr.dtrphase|DataType|^[0-9]+$|Please enter valid number|Number|
178|MDAS|MstConsumer.csmrmasterid|Required|Y|Please enter Id|\ |
179|MDAS|MstConsumer.csmrfirstname|Required|Y|Please first name|\ |
180|MDAS|MstConsumer.csmrbillingunitid|Required|Y|Please select billing unit|\ |
181|MDAS|MstConsumer.csmrbillingunitid|MaxLength|300|\ |\ |
182|MDAS|MstConsumer.csmrbillingunitid|MinLength|0|\ |\ |
183|MDAS|MstConsumer.csmrclassid|Required|Y|Please select class|\ |
184|MDAS|MstConsumer.csmrclassid|MaxLength|300|\ |\ |
185|MDAS|MstConsumer.csmrclassid|MinLength|0|\ |\ |
186|MDAS|MstConsumer.csmrcategoryid|Required|Y|Please select category|\ |
187|MDAS|MstConsumer.csmrcategoryid|MaxLength|300|\ |\ |
188|MDAS|MstConsumer.csmrcategoryid|MinLength|0|\ |\ |
189|MDAS|MstConsumer.csmruserid|Required|Y|Please enter user|\ |
190|MDAS|MstConsumer.csmruserid|MaxLength|300|\ |\ |
191|MDAS|MstConsumer.csmruserid|MinLength|0|\ |\ |
192|MDAS|MstConsumer.csmrmasterid|DataType|^[A-z0-9]+$|Please enter valid id|Alphanumeric|
193|MDAS|MstConsumer.csmrfirstname|DataType|^[A-z]+[0-9,',\\-,\\\\,.]*$|Please enter valid name|Name|
194|MDAS|MstConsumer.csmrmiddlename|DataType|^[A-z]+[0-9,',\\-,\\\\,.]*$|Please enter valid name|Name|
195|MDAS|MstConsumer.csmrlastname|DataType|^[A-z]+[0-9,',\\-,\\\\,.]*$|Please enter valid name|Name|
196|MDAS|MstConsumer.csmrlandline|DataType|^\\+?\\d{1,3}-\\d{1,8}-\\d{10}|Please enter valid phone no|Phone|
197|MDAS|MstConsumer.csmremailid|DataType|^[a-zA-Z0-9_.+-]+@[a-zA-Z0-9-]+\\.[a-zA-Z0-9-.]+$|Please enter valid email id|Email|
198|MDAS|mstdcu.dcuid|Required|Y|Please enter id|\ |
199|MDAS|mstfeeder.fdrid|Required|Y|Please enter id|\ |
200|MDAS|mstfeeder.fdrsubstnid|Required|Y|Please select substation|\ |
201|MDAS|mstfeeder.fdrid|DataType|^[A-z0-9]+$|Please enter valid id|Alphanumeric|
202|MDAS|mstmeter.mtrno|Required|Y|Please enter meter no|\ |
203|MDAS|mstmeter.mtrdtrid|Required|Y|Please select dtr|\ |
204|MDAS|mstmeter.mtrdtrid|MaxLength|300|\ |\ |
205|MDAS|mstmeter.mtrdtrid|MinLength|0|\ |\ |
206|MDAS|mstmeter.mtrdcuid|Required|Y|Please select dcu|\ |
207|MDAS|mstmeter.mtrdcuid|MaxLength|300|\ |\ |
208|MDAS|mstmeter.mtrdcuid|MinLength|0|\ |\ |
209|MDAS|mstmeter.mtrtypeid|Required|Y|Please select meter type|\ |
210|MDAS|mstmeter.mtrtypeid|MaxLength|300|\ |\ |
211|MDAS|mstmeter.mtrtypeid|MinLength|0|\ |\ |
212|MDAS|mstmeter.mtrno|DataType|^[A-z0-9]+$|Please enter valid meter no|Alphanumeric|
213|MDAS|mstmetertype.mtypid|DataType|^[A-z0-9]+$|Please enter valid id|Alphanumeric|
214|MDAS|MstRole.RolID|MinLength|4|Min Length is 4||
215|MDAS|MstRole.RolID|MaxLength|10|Max Length is 10||
216|MDAS|MstRole.RolID|DataType|^[A-z0-9]+$|Invalid code|Alphanumeric|
217|MDAS|MstRole.RolID|Required|Y|Please enter code||
218|MDAS|MstRole.RolID|Padded|Y|\ ||
219|MDAS|MstRole.RolName|MaxLength|10|Max length is 10||
220|MDAS|MstRole.RolName|MinLength|5|Min length is 5||
221|MDAS|MstRole.RolName|DataType|^[A-z]+[0-9,',\\-,\\\\,.]*$|Invalid name|Name|
222|MDAS|MstRole.RolName|Required|Y|Please enter name||
223|MDAS|MstRole.RolDescription|MinLength|1|Min length is 1||
224|MDAS|MstRole.RolDescription|MaxLength|25|Max length is 25||
225|MDAS|MstRole.RolDescription|DataType|\ |\ ||
226|MDAS|MstRole.RolDescription|Required|Y|Please enter description||
227|MDAS|MstMenu.MnuID|MinLength|4|Min Length is 4||
228|MDAS|MstMenu.MnuID|MaxLength|10|Max Length is 10||
